player_id,nickname,realname,age,nationality
14842,Hatecrew,Ebne-Khalid Pranto,21,Bangladesh
14843,kNs,Cassio Carvalho dos Santos,,Brazil
14844,MiNd HaX,Moin Reza,26,Bangladesh
14845,vinc9nt,Rakib Uddin,24,Bangladesh
14846,Shyr,Shyer Amin,24,Bangladesh
14847,JeshaN,Well-All Nasib,25,Bangladesh
14848,Vendetta,Alif-Rahman Chowdhury,31,Bangladesh
14849,XplsnwOw,Saimon Mehedi,23,Bangladesh
14850,Loordpanic,Irfan Reza,26,Bangladesh
14851,[F]raG_YoU,Lamit Chowdhury,23,Bangladesh
14852,RAGE,Tulush Syed,21,Bangladesh
14853,Sami,Sami Rahman,17,Bangladesh
14854,Exorcist,Ahsan-Ali Shoikot,,Bangladesh
14855,Xenon,Abir Hasan,,Bangladesh
14856,RekiT,Rakin Raiyan,,Bangladesh
14857,Visco,Omar Afza,,Bangladesh
14858,PaiN,Syed Rahat,,Bangladesh
14859,NaZarD,Nazmul Ahsan,,Bangladesh
14860,Addy,Addison Iannuzzi,20,United States
14861,Mala,Jonathon Mahalchick,23,United States
14862,mdn,Nick Gorbunov,20,United States
14863,PluRO,Chris Palac,26,United States
14864,ZayhanS,Matt Thornton,19,United States
14865,kilo,Cory Dawson,21,United States
14866,drass,Kevin Nguyen,25,United States
14867,JeFr3,Jeffrey Grzybowski,18,United States
14868,dioko,Jon Clinard,30,United States
14869,Stunzzz,Dylan Keck,20,United States
14870,Theia,Melisa Mundorff,20,United States
14871,Crawfish,Joseph Crawford,20,United States
14872,alexis,Alexis Guarrasi,20,United States
14873,SirSnipeys,Matt Pratt,25,United States
14874,Gats-Hohen,Kalka Guillaume,,France
14875,faL,Gabriel Falcao,29,Brazil
14876,UnicorN,ShunJie Ding,29,China
14877,Lour0,Ricardo Louro,,Portugal
14878,Optimize,Philip Sundqvist,25,Sweden
14879,Mayfield,Kim Yongun,26,Kazakhstan
14880,bny,Lucas Freitas do Nascimento,23,Brazil
14881,Poppy,Võ-Nhựt Huy,20,Vietnam
14882,Iris,Trần-Phúc Nguyên,27,Vietnam
14883,1ukey,Luke McMillan,21,Australia
14884,Kiddo,Josh Dow,20,New Zealand
14885,Nation,Josh Penman,20,Germany
14886,dugan,Luke Dugan,21,Australia
14887,HighKitty,Fabian Schultze,23,Germany
14888,Starboy,Dhruv Soni,24,India
14889,YJM,Jae-Min Yoon,21,Korea
14890,iNTRO,Kang-Seung Gyun,18,Korea
14891,esk4d4,Felipe Gondacki,21,Brazil
14892,RiifAS,Alan Vázquez Madrid,,Mexico
14893,Areduck,Seung-Duck Jae,22,Korea
14894,Sinja,Ji-Weon Park,18,Korea
14895,ryme,Sang-Hun Lee,22,Korea
14896,Requ1em,Se-Jin Lee,21,Korea
14897,kim wolf,Beum-Heon Jung,19,Korea
14898,Rwinbeu,Dong-Woo Park,21,Korea
14899,CaLix,Seung-Guk Kim,19,Korea
14900,Yui,Jae-Gwan Kim,19,Korea
14901,DaRew0w,Luciano Lasagni,,South Africa
14902,smitherz,Travis Smith,,South Africa
14903,Crankz,Rynier Schoeman,33,South Africa
